ID X Y aqd ZMAX Lon Lat
1 797.237066666667 521.4242 5 1011.93333333333 -95.992368974794 23.0047978700814
2 968.860133333333 868.183433333333 5 1024.75 -95.9907259024569 23.0079885735898
3 930.857566666667 562.6802 5 1016.81666666667 -95.9910899438034 23.0051773986591
4 1540.324 539.855833333333 5 1046.8 -95.985256238686 23.0049666721287
5 1086.728 875.061166666667 5 1030.8 -95.9895976435589 23.008051749144
6 1047.947 848.7452 5 1028.35 -95.9899688888726 23.0078096319802
7 438.412 772.661866666667 5 1033.55 -95.9958034845242 23.0071099433363
8 1514.65166666667 404.792433333333 5 1042.85 -95.9855021678148 23.0037238590848
9 695.3175 834.4461 5 1021.95 -95.9933443226802 23.0076783386222
10 1056.28866666667 795.912566666667 5 1027.73333333333 -95.9898890949523 23.0073234653225
11 686.169233333333 655.1693 5 1018.73333333333 -95.9934320097821 23.0060286600077
12 983.833333333333 973.447766666667 5 1027.71666666667 -95.9905824765345 23.0089571845041
13 837.815233333333 975.507533333333 5 1020.58333333333 -95.9919802003079 23.0089762613606
14 999.307333333333 881.459566666667 5 1026.6 -95.9904344437786 23.0081107107278
15 934.166666666667 973.447766666667 5 1025.21666666667 -95.9910578995357 23.0089572286506
16 699.841666666667 687.205633333333 5 1018.73333333333 -95.993301116067 23.0063234466161
17 909.333333333333 937.497266666667 5 1023.23333333333 -95.9912956425561 23.0086264398801
18 920.622566666667 810.8917 5 1021.2 -95.991187691677 23.0074614255974
19 928.5528 888.270633333333 5 1023.15 -95.9911117132695 23.0081734482934
20 1062.92166666667 934.327766666667 5 1030.83333333333 -95.9898254613361 23.0085971343166
21 1008.66666666667 937.497266666667 5 1028.23333333333 -95.9903447999969 23.0086263515872
22 895.789233333333 846.8422 5 1020.65 -95.9914253682362 23.007792257915
23 968.860133333333 822.834666666667 5 1023.85 -95.9907259448183 23.0075712808931
24 999.7187 733.272233333333 5 1023.66666666667 -95.9904306489334 23.0067471104773
25 907.474966666667 770.2897 5 1019.81666666667 -95.9913135775857 23.0070878223902
26 947.782233333333 732.226733333333 5 1021.05 -95.9909277880133 23.0067375367762
27 1007.649 783.278166666667 5 1025.08333333333 -95.9903546911749 23.0072072517288
28 1108.423 682.927633333333 5 1028.08333333333 -95.9893901804346 23.006283738487
29 1133.92166666667 970.278266666667 5 1035.06666666667 -95.9891457931731 23.0089278720547
30 1349.307 948.692766666667 5 1045.5 -95.9870840942436 23.0087289983575
31 1087.755 970.278266666667 5 1032.81666666667 -95.9895877130686 23.0089279195874
32 767.879633333333 829.0422 5 1018.26666666667 -95.9926497516943 23.0076285635008
33 387.797933333333 831.524066666667 5 1037.26666666667 -95.9962879444961 23.0076516048458
34 684.432533333333 951.337433333333 5 1024.75 -95.9934484379816 23.0087539607446
35 862.1879 696.1611 5 1016.76666666667 -95.9917471306004 23.0064057364197
36 1300 976.089733333333 5 1043.53333333333 -95.9875560388956 23.0089811607574
37 1204 974.412633333333 5 1038.66666666667 -95.9884749794993 23.0089658397985
38 1253.214 902.5908 5 1039.73333333333 -95.9880039762879 23.0083048918802
39 1082.66333333333 707.437166666667 5 1027.33333333333 -95.9896367262532 23.0065092989278
40 1165.92166666667 944.6909 5 1036.15 -95.98883950923 23.0086923876538
41 1134.86433333333 860.9194 5 1032.95 -95.989136889371 23.0079215692236
42 1246.66666666667 950.502366666667 5 1040.36666666667 -95.9880665911273 23.0087457734533
43 1231.20633333333 825.933 5 1037.08333333333 -95.9882147292228 23.0075995238435
44 1302.68933333333 867.842933333333 5 1041.45 -95.9875304318087 23.007985088941
45 851.268833333333 743.775066666667 5 1017.11666666667 -95.9918516089142 23.0068438836994
46 925.937733333333 688.5331 5 1019.1 -95.9911369235044 23.0063354914901
47 781.8902 657.7746 5 1014.3 -95.9925157697537 23.006052568629
48 832.410166666667 659.954833333333 5 1014.61666666667 -95.992032192355 23.0060725931499
49 944.4644 646.263433333333 5 1019.18333333333 -95.9909596247314 23.0059465138004
50 978.5252 560.865866666667 5 1019.2 -95.990633676689 23.0051606610903
51 991.891233333333 636.240633333333 5 1021.31666666667 -95.990505666577 23.0058542422653
52 1391.97366666667 972.603033333333 5 1048.13333333333 -95.9866756461012 23.0089489620558
53 1400.13133333333 813.4692 5 1045.26666666667 -95.9865977735006 23.0074846276927
54 1500.327 953.853 5 1053.06666666667 -95.9856384854005 23.008776282459
55 909.013066666667 606.373833333333 5 1016.63333333333 -95.9912989984256 23.0055794832628
56 1054.46333333333 539.994333333333 5 1022.55 -95.9899068274051 23.0049685308291
57 860.708666666667 612.437233333333 5 1014.4 -95.9917613593091 23.0056353178443
58 830.8143 578.034333333333 5 1012.45 -95.9920475335652 23.00531876814
59 970.273566666667 424.6619 5 1016 -95.9907127877197 23.0039073245604
60 1253.12066666667 738.5078 5 1036.43333333333 -95.988005067937 23.0067950230181
61 1099.83666666667 632.3269 5 1026.66666666667 -95.9894724224301 23.0058181237698
62 1030.54436666667 659.275266666667 5 1023.7 -95.9901356578286 23.0060661687825
63 1370.462 695.697033333333 5 1041.48333333333 -95.9868819275577 23.006400940236
